"ID","NAME","TYPE","RECORDTYPEID","PARENTID"
"001d000000AMkOOAA1","GenePoint","Customer - Channel","",""
"001d000000AMkOPAA1","United Oil & Gas, UK","Customer - Direct","",""
"001d000000AMkOQAA1","United Oil & Gas, Singapore","Customer - Direct","",""
"001d000000AMkORAA1","Edge Communications","Customer - Direct","",""
"001d000000AMkOSAA1","Burlington Textiles Corp of America","Customer - Direct","",""
"001d000000AMkOTAA1","Pyramid Construction Inc.","Customer - Channel","",""
"001d000000AMkOUAA1","Dickenson plc","Customer - Channel","",""
"001d000000AMkOVAA1","Grand Hotels & Resorts Ltd","Customer - Direct","",""
"001d000000AMkOWAA1","Express Logistics and Transport","Customer - Channel","",""
"001d000000AMkOXAA1","University of Arizona","Customer - Direct","",""
"001d000000AMkOYAA1","United Oil & Gas Corp.","Customer - Direct","",""
"001d000000AMkOZAA1","sForce","","",""
"001d000001m41l4AAA","riccardo.donato","","",""
"001d000000Eap4rAAB","Test_01","","","001d000000AMkOSAA1"
"001d000000Eap5jAAB","Cliente_01","Prospect","","001d000000AMkOSAA1"
